Beverage,,,,,,
Bac,Reps,Time,Plate Raw,Charm Raw,Attune Raw,Attune with Dilutions 
AF 8,D,48 Hours,30000,10056,1,1000
AF 8,E,48 Hours,30000,6946,5,5000
Geo 1,Blank,48 Hours,0,10,0,0
Geo 2,Blank,48 Hours,0,14,0,0
Geo 3,Blank,48 Hours,0,13,1,1000
Geo 4,Blank,48 Hours,0,9,0,0
AF 5,Blank,48 Hours,0,8,0,0
AF 6,Blank,48 Hours,0,16,0,0
AF 7,Blank,48 Hours,0,11,10,10000
AF 8,Blank,48 Hours,0,13,1,1000
