Milk ,,,,,,
Bac,Reps,Time,Plate Raw,Charm Raw,Attune Raw,Attune with Dilutions 6h 12h x100 and  24h 48h x1000 
AF 8,D,12 Hours,450,47819,757202,75720200
AF 8,E,12 Hours,450,53663,729434,72943400
Geo 1,Blank,12 Hours,0,4,0,0
Geo 2,Blank,12 Hours,0,4,6,600
Geo 3,Blank,12 Hours,0,7,0,0
Geo 4,Blank,12 Hours,0,4,7,700
AF 5,Blank,12 Hours,0,25,1,100
AF 6,Blank,12 Hours,0,6,22,2200
AF 7,Blank,12 Hours,0,7,87,8700
AF 8,Blank,12 Hours,0,5,3,300
Geo 1,A,24 Hours,450,4775,152631,152631000
Geo 1,B,24 Hours,450,6913,127749,127749000
Geo 1,C,24 Hours,450,7823,134632,134632000
Geo 1,D,24 Hours,450,16199,140661,140661000
Geo 1,E,24 Hours,450,14483,152768,152768000
Geo 2,A,24 Hours,450,974,65400,65400000
Geo 2,B,24 Hours,0,32,1,1000
Geo 2,C,24 Hours,450,1181,52800,52800000
Geo 2,D,24 Hours,450,1517,45750,45750000
Geo 2,E,24 Hours,450,1919,38415,38415000
Geo 3,A,24 Hours,0,4,5,5000
Geo 3,B,24 Hours,0,6,8,8000
Geo 3,C,24 Hours,450,2317,72637,72637000
Geo 3,D,24 Hours,450,6246,78257,78257000
Geo 3,E,24 Hours,450,8418,84589,84589000
Geo 4,A,24 Hours,0,3,2,2000
Geo 4,B,24 Hours,0,3,1,1000
Geo 4,C,24 Hours,0,3,8,8000
Geo 4,D,24 Hours,450,2957,130994,130994000
Geo 4,E,24 Hours,0,3,2,2000
AF 5,A,24 Hours,450,2481,7962,7962000
AF 5,B,24 Hours,450,3458,12688,12688000
AF 5,C,24 Hours,450,3362,11163,11163000
AF 5,D,24 Hours,450,2843,10952,10952000
AF 5,E,24 Hours,450,5588,17935,17935000
AF 6,A,24 Hours,450,2798,53651,53651000
AF 6,B,24 Hours,450,3599,47793,47793000
AF 6,C,24 Hours,450,3584,57257,57257000
AF 6,D,24 Hours,450,3777,53487,53487000
AF 6,E,24 Hours,450,5541,52105,52105000
AF 7,A,24 Hours,450,1375,14008,14008000
AF 7,B,24 Hours,450,1258,11816,11816000
AF 7,C,24 Hours,450,1053,10937,10937000
AF 7,D,24 Hours,450,1509,11279,11279000
AF 7,E,24 Hours,450,1050,10982,10982000
AF 8,A,24 Hours,450,2663,40619,40619000
AF 8,B,24 Hours,450,2557,36707,36707000
AF 8,C,24 Hours,450,3212,40573,40573000
AF 8,D,24 Hours,450,3116,35242,35242000
AF 8,E,24 Hours,450,3025,37993,37993000
Geo 1,Blank,24 Hours,0,4,0,0
Geo 2,Blank,24 Hours,0,17,7,7000
Geo 3,Blank,24 Hours,0,4,1,1000
Geo 4,Blank,24 Hours,0,2,7,7000
AF 5,Blank,24 Hours,0,11,0,0
AF 6,Blank,24 Hours,0,5,1,1000
AF 7,Blank,24 Hours,0,5,11,11000
AF 8,Blank,24 Hours,0,8,1,1000
Geo 1,A,48 Hours,450,100,2402,2402000
Geo 1,B,48 Hours,450,160,2916,2916000
Geo 1,C,48 Hours,450,169,2389,2389000
Geo 1,D,48 Hours,450,230,2645,2645000
Geo 1,E,48 Hours,450,216,2956,2956000
Geo 2,A,48 Hours,450,129,5873,5873000
Geo 2,B,48 Hours,450,172,9537,9537000
Geo 2,C,48 Hours,450,295,12273,12273000
Geo 2,D,48 Hours,450,86,4090,4090000
Geo 2,E,48 Hours,450,514,14996,14996000
Geo 3,A,48 Hours,450,20,1077,1077000
Geo 3,B,48 Hours,450,203,6647,6647000
Geo 3,C,48 Hours,450,24,4653,4653000
Geo 3,D,48 Hours,450,1418,14754,14754000
Geo 3,E,48 Hours,450,1688,12203,12203000
Geo 4,A,48 Hours,0,2,2,2000
Geo 4,B,48 Hours,0,2,6,6000
Geo 4,C,48 Hours,0,4,1,1000
Geo 4,D,48 Hours,0,3,3,3000
Geo 4,E,48 Hours,0,3,6,6000
AF 5,A,48 Hours,450,77,255,255000
AF 5,B,48 Hours,450,63,280,280000
AF 5,C,48 Hours,450,96,290,290000
AF 5,D,48 Hours,450,174,222,222000
AF 5,E,48 Hours,450,62,316,316000
AF 6,A,48 Hours,450,14,293,293000
AF 6,B,48 Hours,450,28,340,340000
AF 6,C,48 Hours,450,26,445,445000
AF 6,D,48 Hours,450,18,241,241000
AF 6,E,48 Hours,450,24,555,555000
AF 7,A,48 Hours,450,6,837,837000
AF 7,B,48 Hours,450,16,500,500000
AF 7,C,48 Hours,450,16,719,719000
AF 7,D,48 Hours,450,22,593,593000
AF 7,E,48 Hours,450,18,545,545000
AF 8,A,48 Hours,450,12,1538,1538000
AF 8,B,48 Hours,450,14,1227,1227000
AF 8,C,48 Hours,450,13,1178,1178000
AF 8,D,48 Hours,450,10,1246,1246000
AF 8,E,48 Hours,450,11,842,842000
Geo 1,Blank,48 Hours,0,4,0,0
Geo 2,Blank,48 Hours,0,2,0,0
Geo 3,Blank,48 Hours,0,4,0,0
Geo 4,Blank,48 Hours,0,2,2,2000
AF 5,Blank,48 Hours,0,3,0,0
AF 6,Blank,48 Hours,0,7,4,4000
AF 7,Blank,48 Hours,0,5,1,1000
AF 8,Blank,48 Hours,0,5,4,4000
