Chocolate Milk,,,*No 6 Hour,"** Four extra Isloates ran:
 AF 5 Hi, AF 8 Hi, BL 1 and BL 2",,
BL 2,A,24 Hours,>300,12273,19973,19973000
BL 2,B,24 Hours,>300,14051,23945,23945000
BL 2,C,24 Hours,>300,19040,31205,31205000
BL 2,D,24 Hours,>300,15270,24021,24021000
BL 2,E,24 Hours,>300,19066,27154,27154000
Geo 1,Blank,24 Hours,0,1,36,36000
Geo 2,Blank,24 Hours,0,3,12,12000
Geo 3,Blank,24 Hours,0,4,9,9000
Geo 4,Blank,24 Hours,0,3,9,9000
AF 5,Blank,24 Hours,0,3,10,10000
AF 6,Blank,24 Hours,0,3,20,20000
AF 7,Blank,24 Hours,0,2,4,4000
AF 8  ,Blank,24 Hours,0,4,13,13000
BL 1,Blank,24 Hours,0,3,18,18000
BL 2,Blank,24 Hours,0,2,17,17000
AF 5 Hi,Blank,24 Hours,0,3,7,7000
AF 8 Hi,Blank,24 Hours,0,2,15,15000
Geo 1,A,48 Hours,>300,7,437,437000
Geo 1,B,48 Hours,>300,7,419,419000
Geo 1,C,48 Hours,>300,12,806,806000
Geo 1,D,48 Hours,>300,10,506,506000
Geo 1,E,48 Hours,>300,19,716,716000
Geo 2,A,48 Hours,>300,16,2230,2230000
Geo 2,B,48 Hours,>300,14,3642,3642000
Geo 2,C,48 Hours,>300,8,1693,1693000
Geo 2,D,48 Hours,>300,16,2080,2080000
Geo 2,E,48 Hours,>300,20,2203,2203000
Geo 3,A,48 Hours,>300,11,305,305000
Geo 3,B,48 Hours,>300,8,264,264000
Geo 3,C,48 Hours,>300,11,264,264000
Geo 3,D,48 Hours,>300,10,357,357000
Geo 3,E,48 Hours,>300,9,347,347000
Geo 4,A,48 Hours,>300,19,1555,1555000
Geo 4,B,48 Hours,>300,28,2765,2765000
Geo 4,C,48 Hours,>300,18,1977,1977000
Geo 4,D,48 Hours,>300,24,2819,2819000
Geo 4,E,48 Hours,>300,11,1629,1629000
AF 5 Hi,A,48 Hours,>300,3816,10670,10670000
AF 5 Hi,B,48 Hours,>300,1968,6213,6213000
AF 5 Hi,C,48 Hours,>300,5330,11472,11472000
AF 5 Hi,D,48 Hours,>300,3602,6822,6822000
AF 5 Hi,E,48 Hours,>300,4986,13130,13130000
AF 5,A,48 Hours,>300,523,1305,1305000
AF 5,B,48 Hours,>300,688,1635,1635000
AF 5,C,48 Hours,>300,5279,8199,8199000
AF 5,D,48 Hours,>300,4778,10574,10574000
AF 5,E,48 Hours,>300,4675,9552,9552000
AF 6,A,48 Hours,>300,190,3472,3472000
AF 6,B,48 Hours,>300,219,2265,2265000
AF 6,C,48 Hours,>300,223,3852,3852000
AF 6,D,48 Hours,>300,463,11330,11330000
AF 6,E,48 Hours,>300,409,3051,3051000
AF 7,A,48 Hours,>300,2573,3621,3621000
AF 7,B,48 Hours,>300,3234,5242,5242000
AF 7,C,48 Hours,>300,294,425,425000
AF 7,D,48 Hours,>300,2619,4179,4179000
AF 7,E,48 Hours,>300,132,185,185000
AF 8,A,48 Hours,>300,2886,6343,6343000
AF 8,B,48 Hours,>300,2852,5506,5506000
AF 8,C,48 Hours,>300,221,229,229000
AF 8,D,48 Hours,>300,2815,4803,4803000
AF 8,E,48 Hours,>300,1657,2662,2662000
AF 8 Hi,A,48 Hours,>300,1339,1366,1366000
AF 8 Hi,B,48 Hours,>300,1170,1787,1787000
AF 8 Hi,C,48 Hours,>300,1222,1853,1853000
AF 8 Hi,D,48 Hours,>300,1641,2781,2781000
AF 8 Hi,E,48 Hours,>300,1446,1631,1631000
BL 1,A,48 Hours,>300,1416,21718,21718000
BL 1,B,48 Hours,>300,1137,963,963000
BL 1,C,48 Hours,>300,1078,793,793000
BL 1,D,48 Hours,>300,4290,37351,37351000
BL 1,E,48 Hours,>300,1087,789,789000
BL 2,A,48 Hours,>300,756,517,517000
BL 2,B,48 Hours,>300,847,413,413000
BL 2,C,48 Hours,>300,706,577,577000
BL 2,D,48 Hours,>300,1388,1145,1145000
BL 2,E,48 Hours,>300,5092,6295,6295000
Geo 1,Blank,48 Hours,0,2,10,10000
Geo 2,Blank,48 Hours,0,2,3,3000
Geo 3,Blank,48 Hours,0,2,17,17000
Geo 4,Blank,48 Hours,0,1,0,0
AF 5,Blank,48 Hours,0,2,4,4000
AF 6,Blank,48 Hours,0,2,13,13000
AF 7,Blank,48 Hours,0,3,2,2000
AF 8,Blank,48 Hours,0,4,7,7000
BL 1,Blank,48 Hours,0,2,6,6000
BL 2,Blank,48 Hours,0,1,36,36000
AF 5 Hi,Blank,48 Hours,0,3,7,7000
AF 8  Hi,Blank,48 Hours,0,4,7,7000
